               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.024875,            0.019344,                   0,             0.92745,             0.95874,             0.97012,             0.71063,            0.024232,           0.0098606,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.024938,             0.01951,                   0,             0.93513,              0.9587,             0.97459,             0.69344,            0.025107,           0.0098725,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.024868,            0.019472,                   0,             0.93287,             0.95154,             0.97216,             0.69974,            0.025066,            0.010042,                   0,             0.00604,             0.00604,             0.00604
                  42,             0.02501,             0.01969,                   0,             0.94017,             0.95109,             0.97026,             0.71287,            0.023559,            0.009852,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.024349,            0.019163,                   0,             0.94031,             0.94239,             0.97083,             0.69562,             0.02474,            0.010123,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.024214,            0.019161,                   0,             0.92714,             0.95652,             0.97165,             0.70313,            0.024787,            0.009874,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.024324,            0.019566,                   0,             0.93512,             0.95435,             0.97266,             0.68575,            0.025548,           0.0099927,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.024099,            0.019236,                   0,             0.92447,             0.96087,             0.97225,             0.70298,            0.024669,            0.010201,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.023985,            0.019185,                   0,              0.9375,             0.94457,             0.97313,             0.70966,            0.024945,            0.010156,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.023805,            0.018676,                   0,             0.91848,             0.96413,             0.97298,             0.67048,            0.026312,            0.010312,                   0,            0.005347,            0.005347,            0.005347
                  49,             0.02363,            0.018669,                   0,             0.92315,             0.95217,             0.96111,             0.68907,            0.024825,            0.010445,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.023611,            0.018631,                   0,             0.92357,             0.94457,             0.96049,              0.7031,            0.023761,            0.010345,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.023392,            0.018453,                   0,             0.92262,             0.95899,             0.97016,             0.69609,            0.023903,            0.010051,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.023438,             0.01887,                   0,             0.92913,              0.9587,             0.97042,             0.71417,            0.022878,           0.0099141,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.023396,            0.018513,                   0,             0.93789,             0.95195,             0.97027,             0.70631,            0.023763,            0.010048,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.023058,            0.018703,                   0,             0.94734,             0.94674,             0.97566,             0.70914,            0.024055,           0.0098097,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.023147,            0.018237,                   0,             0.94039,              0.9603,             0.97291,             0.69636,            0.024217,           0.0099609,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.022937,             0.01871,                   0,             0.94782,             0.94762,             0.97633,             0.70499,            0.024533,            0.010025,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.022983,            0.018446,                   0,             0.92605,             0.95652,              0.9691,              0.7045,            0.024623,           0.0099707,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.022642,            0.018036,                   0,             0.93025,             0.96522,             0.97322,             0.72435,             0.02344,           0.0097166,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.022727,            0.018277,                   0,             0.93126,             0.96196,             0.97153,             0.71383,            0.024234,           0.0099059,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.022435,            0.018095,                   0,             0.94181,             0.95109,             0.97314,             0.71677,            0.023363,           0.0097216,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.022255,            0.018069,                   0,             0.95263,             0.94004,             0.97372,             0.73612,            0.022759,           0.0098266,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.022291,            0.018176,                   0,             0.94343,             0.96069,             0.97533,             0.71865,            0.023289,           0.0096486,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.022367,            0.018029,                   0,             0.93984,             0.95095,             0.97344,             0.73371,            0.022329,           0.0097174,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.022108,             0.01783,                   0,             0.94051,             0.96413,             0.97473,             0.72231,            0.023324,           0.0096053,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.021942,              0.0174,                   0,             0.94845,             0.95999,             0.97527,              0.7183,            0.023345,           0.0096584,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.021617,             0.01738,                   0,             0.94044,             0.95435,             0.96979,             0.71637,            0.023554,            0.010069,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.021625,            0.017491,                   0,              0.9422,             0.95652,             0.97345,             0.73895,            0.022599,           0.0097746,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.021946,            0.017421,                   0,             0.93287,             0.95978,             0.97201,             0.71287,            0.023368,           0.0098322,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.021666,            0.017345,                   0,             0.95279,             0.95435,             0.97474,             0.72219,            0.023034,           0.0097684,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.021486,            0.017219,                   0,             0.94462,             0.94552,             0.97202,             0.72027,            0.023401,                0.01,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.021348,             0.01745,                   0,             0.94455,             0.95326,             0.97117,             0.71315,            0.023158,            0.010082,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.021434,            0.017292,                   0,             0.94798,             0.95079,             0.97589,             0.72397,            0.022826,           0.0098197,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.020958,            0.017051,                   0,             0.93557,             0.96522,               0.975,             0.72306,            0.023374,           0.0097272,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.021172,            0.017127,                   0,             0.94005,             0.95761,             0.97454,             0.73832,            0.022316,           0.0095883,                   0,            0.002773,            0.002773,            0.002773
                  75,             0.02076,            0.016859,                   0,             0.93245,             0.96024,             0.97509,             0.74108,            0.022039,           0.0097218,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.020825,            0.016941,                   0,              0.9408,             0.96727,             0.97609,             0.72167,            0.023146,           0.0097176,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.020681,            0.016966,                   0,              0.9439,              0.9663,             0.97668,             0.73739,            0.022315,           0.0095863,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.020697,            0.016709,                   0,             0.94586,             0.94891,             0.97505,             0.73778,            0.022275,           0.0097512,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.020619,            0.016739,                   0,             0.95208,             0.95326,             0.97742,             0.73296,            0.022667,           0.0096148,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.020619,            0.016916,                   0,             0.93396,             0.96838,               0.975,             0.73451,            0.022206,           0.0095457,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.020419,            0.016917,                   0,             0.93694,             0.96739,             0.97694,             0.74013,            0.022206,           0.0094886,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.020255,            0.016616,                   0,             0.93844,             0.96104,             0.97414,             0.74296,            0.022285,           0.0095332,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.020119,            0.016394,                   0,             0.94723,              0.9561,              0.9767,             0.74584,             0.02222,           0.0094792,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.019766,             0.01633,                   0,             0.94062,             0.96522,             0.97481,             0.72962,            0.022986,           0.0097217,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.019951,            0.016409,                   0,             0.94589,             0.95005,             0.97427,             0.73941,             0.02233,           0.0096985,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.019913,            0.015862,                   0,             0.94788,             0.94886,             0.97316,              0.7359,            0.022227,           0.0096135,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.019795,            0.016354,                   0,             0.94895,             0.94971,              0.9746,             0.74061,            0.022663,           0.0096258,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.019681,              0.0164,                   0,             0.94237,             0.95973,             0.97509,             0.74164,            0.022321,           0.0097452,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.019581,            0.016363,                   0,             0.95121,             0.95435,              0.9757,             0.74566,            0.022244,           0.0096715,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.019665,            0.016157,                   0,             0.94515,             0.95519,             0.97573,             0.74823,             0.02201,           0.0095572,                   0,            0.001189,            0.001189,            0.001189
                  91,             0.01942,            0.015952,                   0,             0.94822,             0.95541,             0.97598,             0.74252,            0.022524,           0.0097403,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.019323,             0.01578,                   0,              0.9404,             0.96037,             0.97586,             0.75212,             0.02201,           0.0097119,                   0,            0.000991,            0.000991,            0.000991
                  93,             0.01907,            0.015756,                   0,             0.94867,             0.96418,             0.97608,             0.75259,            0.021903,           0.0094981,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.019235,            0.015403,                   0,             0.94918,             0.96304,              0.9752,             0.75405,            0.021689,           0.0095891,                   0,            0.000793,            0.000793,            0.000793
                  95,             0.01916,            0.015508,                   0,             0.94739,             0.95652,             0.97514,             0.74841,            0.021755,           0.0097112,                   0,            0.000694,            0.000694,            0.000694
                  96,             0.01896,            0.015725,                   0,             0.94648,             0.96108,             0.97585,             0.74113,            0.022098,           0.0095995,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.019147,            0.015812,                   0,              0.9503,             0.95596,             0.97596,             0.74978,             0.02189,           0.0095723,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.018718,            0.015487,                   0,             0.94705,              0.9587,              0.9761,             0.74776,             0.02192,           0.0097055,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.018889,            0.015754,                   0,             0.94568,             0.96304,             0.97579,             0.74936,            0.021952,           0.0095852,                   0,            0.000298,            0.000298,            0.000298
