               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086197,            0.043594,                   0,             0.41828,             0.45435,             0.37327,             0.13284,            0.060882,            0.021713,                   0,            0.070131,           0.0033188,           0.0033188
                   1,            0.057261,            0.036654,                   0,              0.6293,             0.68152,             0.65963,             0.31895,            0.044538,            0.016499,                   0,            0.038814,            0.005335,            0.005335
                   2,            0.048599,            0.032819,                   0,             0.81631,               0.825,             0.85083,             0.48193,            0.035933,            0.014206,                   0,           0.0061768,           0.0060312,           0.0060312
                   3,            0.041477,            0.030366,                   0,             0.85202,              0.8511,             0.90571,             0.57498,            0.030769,            0.012991,                   0,             0.00406,             0.00406,             0.00406
                   4,             0.03906,            0.027608,                   0,             0.91035,             0.83696,             0.90674,             0.46687,             0.03804,            0.012821,                   0,             0.00406,             0.00406,             0.00406
